m,dt_CN,CN_MaxError,CN_Rate,CN_CPU,MOL_MaxError,MOL_Rate,MOL_CPU
20,0.05,0.000757860708901555,NaN,0.038022375,0.000694783363644987,NaN,0.346504125
40,0.025,0.000250723782561392,1.5958338620515,0.00787025,0.000235014847516167,1.56381130490151,0.113067042
80,0.0125,7.07476210740354e-05,1.82534530791084,0.016605541,6.67949451982619e-05,1.81494107075094,0.065672375
160,0.00625,1.87085780189999e-05,1.91898172941118,0.055705542,1.77196577051397e-05,1.91438819356968,0.342014917
