n,h,MaxError,Rate
32,0.03125,3.02232308774415e-05,NaN
64,0.015625,7.55650412267647e-06,1.9998670358815
128,0.0078125,1.88916956144272e-06,1.99996675663421
256,0.00390625,4.72318168472097e-07,1.99992125865381
512,0.001953125,1.18079711536323e-07,1.99999793004986
1024,0.0009765625,2.9519958866242e-08,1.99999848584363
