m,h,NewtonIterations,ResidualInf,CorrectionInf,Converged
40,0.15707963267949,7,1.13242748511766e-14,1.64983034226247e-15,1
80,0.0785398163397448,7,6.63913368725844e-14,3.21445624117974e-15,1
160,0.0392699081698724,7,2.41029418646121e-13,2.78384664393918e-15,1
