n,h,MaxError,Rate
32,0.03125,0.00249731804097575,NaN
64,0.015625,0.000623793417447227,2.00123933059745
128,0.0078125,0.000155945746696418,2.00002412399537
256,0.00390625,3.89861665488489e-05,2.00000999603323
512,0.001953125,9.7465374998551e-06,2.0000006124168
1024,0.0009765625,2.43663242704972e-06,2.00000115333145
